time,cpu,mem,disk_read,disk_write,net_sent,net_recv,rps,p95,p99,gc_triggered
1770607761.127017,27.4,51.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1770607762.1296499,11.2,51.6,0.0,4085.2441389497703,4085.2441389497703,1021.3110347374426,0.0,0.0,0.0,False
1770607763.1329222,7.7,51.4,0.0,61239.60594378033,0.0,0.0,0.0,0.0,0.0,False
1770607764.135322,8.3,51.7,0.0,20430.967284040176,0.0,0.0,0.0,0.0,0.0,False
1770607765.141979,8.9,51.6,8137.827417534594,4068.913708767297,0.0,0.0,0.0,0.0,0.0,False
1770607766.145269,3.7,51.6,0.0,61238.529037906155,1020.6421506317693,0.0,0.0,0.0,0.0,False
1770607767.148659,4.6,51.6,0.0,4082.161172458841,0.0,0.0,0.0,0.0,0.0,False
1770607768.152865,4.8,51.6,0.0,4078.8446154923677,2039.4223077461838,0.0,0.0,0.0,0.0,False
1770607769.1560562,8.7,51.7,0.0,4082.9702917682366,0.0,0.0,0.0,0.0,0.0,False
1770607770.216985,15.6,51.7,84936.89507575298,857090.4866735074,6756.343926480351,6756.343926480351,2.8277109067300574,57.42502212524414,57.42502212524414,True
1770607771.357834,23.6,52.0,0.0,1203427.0909941196,27697.92511018212,35338.73203712891,19.283882277117065,57.42502212524414,99.49111938476562,True
1770607772.3766,18.1,52.0,0.0,3270735.8502329183,52712.330919634296,71997.33003657368,38.281610123439805,57.42502212524414,1358.7441444396973,True
1770607773.390769,22.0,52.1,0.0,8187241.280895966,73475.24226445098,87470.52650529878,53.24556477804319,1433.5498809814453,1711.6749286651611,True
1770607774.53902,24.4,52.1,0.0,8022254.156152066,87033.88942995165,151363.2859651333,34.835587363588154,1371.3722229003906,1820.6679821014404,True
1770607775.675089,24.3,52.2,0.0,2689639.873608872,63996.12299806633,78417.78451875733,35.20913457199952,1433.5498809814453,2466.301202774048,True
1770607776.796897,28.0,52.2,0.0,3121817.4923595237,57507.16433293859,84891.5283010046,41.00523250426549,1711.6749286651611,2574.3348598480225,True
1770607778.180373,21.5,52.0,0.0,5301686.9091619225,56334.33551647852,62593.70612942058,46.98310567856207,2572.805881500244,3419.238805770874,True
1770607779.411857,24.3,52.1,0.0,7151047.399277243,74836.54255057579,97287.50531574854,54.405906585162526,3282.763719558716,4113.990783691406,True
1770607780.5312908,24.9,52.2,0.0,4284680.039014782,49396.39669231389,68606.10651710261,45.55874260901346,3489.520788192749,4223.635911941528,True
1770607781.945027,23.7,52.3,0.0,5244089.560755797,64464.636865644454,91988.86384198704,51.63621939949137,3771.2419033050537,4235.9302043914795,True
1770607783.204947,21.2,52.3,0.0,5204851.5898674745,52828.7559870996,76398.5086582671,53.17798454230278,3734.8721027374268,4346.411943435669,True
1770607784.817339,21.2,52.2,0.0,2929210.8800200005,39477.23557978438,60202.784259171174,50.23592437639567,3954.150915145874,4499.277114868164,True
